city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Kenner,2013-09-01,234481.00650845168,5.809121018641918,0.05747089776415015,-3.8611284114416944,0,STRONG BUY,2
Kenner,2013-10-01,233511.50197643985,5.723213623593952,0.046709968917036715,-3.030181069083704,0,STRONG BUY,2
Kenner,2013-11-01,232452.3466528247,6.003487031103373,0.03203092179080003,-1.6997243908934312,0,STRONG BUY,2
Kenner,2013-12-01,230975.67191061855,5.672499931710679,0.036973278961931144,-0.4046043516599207,0,STRONG BUY,2
Kenner,2014-01-01,228748.87578842364,5.6837037319182295,0.062034279725136976,1.0678051152089196,1,STRONG BUY,2
Kenner,2014-02-01,226334.7604847338,5.755100513158859,0.04089883339591249,2.3128393304138406,1,STRONG BUY,2
Kenner,2014-03-01,225427.3937467194,5.9426189001227545,0.062470193398535545,2.853031113370452,1,STRONG BUY,2
Kenner,2014-04-01,226435.68064941675,5.958419433311252,0.08719420296444846,2.8011840948993116,1,STRONG BUY,2
Kenner,2014-05-01,228501.29741956247,5.49814386863874,0.053090623538785464,2.772891275966183,1,STRONG BUY,2
Kenner,2014-06-01,230041.13429079248,6.062215059169024,0.061825734383658015,3.588907705533373,1,STRONG BUY,2
Kenner,2014-07-01,231191.46798507532,5.518102986581093,0.041001993102936396,4.561898977726919,1,STRONG BUY,2
Kenner,2014-08-01,231569.5198436227,5.582195097766992,0.048599637970966,5.98749142581656,1,STRONG BUY,2
Kenner,2014-09-01,231858.90742837344,6.080055597174147,0.09265839832082468,6.702432965244776,1,STRONG BUY,2
Kenner,2014-10-01,232778.5609209452,5.355979543290112,0.03495436464115875,6.750973757791412,1,STRONG BUY,2
Kenner,2014-11-01,234837.38996117903,6.1072307367229,0.05375052629222021,6.264206843262832,1,STRONG BUY,2
Kenner,2014-12-01,238297.09828525104,5.482503810274634,0.04720613109633531,5.1878049469813,1,STRONG BUY,2
Kenner,2015-01-01,241738.1891996783,5.266173772595255,0.04009834015060276,4.050488744633873,1,STRONG BUY,2
Kenner,2015-02-01,245434.72498906415,5.261045875826748,0.0669361761208268,2.3908175940830834,1,STRONG BUY,2
